ID,SMILES,IC50
3012101,Cc1nnc(C[C@H](C[C@@H](CN(CCN(Cc2ccc(-c(cc3)ccc3Cl)[o]2)C2)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.015
5743065,CC(C)(c1ncc(-c(cc2)ccc2Cl)[o]1)N1C[C@@H](C(NCC(F)(F)F)=O)N(C[C@H](C[C@@H](Cc2nnc[o]2)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)O)CC1,0.015
3012098,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(C2)C(C)(C)c3ncc(-c(cc4)ccc4Cl)[o]3)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.015
3012102,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(Cc2ccc(-c(cc3)ccc3Cl)[o]2)C2)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.015
3012098,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(C2)C(C)(C)c3ncc(-c(cc4)ccc4Cl)[o]3)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,<0.015
3012099,CC(C)(c1ncc(-c(cc2)ccc2Cl)[o]1)N1C[C@@H](C(NCC(F)(F)F)=O)N(C[C@H](C[C@@H](Cc2nnc(-c3ccccc3)[o]2)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)O)CC1,0.015
3012094,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(C2)C(C)(C)c3ncc(-c(cc4)ccc4F)[o]3)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.016
3012100,O[C@@H](C[C@@H](Cc1nnc[o]1)C(N[C@H]1c(cccc2)c2OC[C@H]1O)=O)CN(CCN(Cc1ccc(-c(cc2)ccc2Cl)[o]1)C1)[C@@H]1C(NCC(F)(F)F)=O,0.015
3012097,CC(C)(c1ncc(-c(cc2)ccc2Cl)[o]1)N1C[C@@H](C(NCC(F)(F)F)=O)N(C[C@H](C[C@@H](Cc2nnc(C)[o]2)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)O)CC1,0.016
3012094,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(C2)C(C)(C)c3ncc(-c(cc4)ccc4F)[o]3)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.016
5743066,O[C@@H](C[C@@H](Cc1nnc(-c2ccccc2)[o]1)C(N[C@H]1c(cccc2)c2OC[C@H]1O)=O)CN(CCN(Cc1ccc(-c(cc2)ccc2Cl)[o]1)C1)[C@@H]1C(NCC(F)(F)F)=O,0.019
5743066,O[C@@H](C[C@@H](Cc1nnc(-c2ccccc2)[o]1)C(N[C@H]1c(cccc2)c2OC[C@H]1O)=O)CN(CCN(Cc1ccc(-c(cc2)ccc2Cl)[o]1)C1)[C@@H]1C(NCC(F)(F)F)=O,>0.019
3012102,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(Cc2ccc(-c(cc3)ccc3Cl)[o]2)C2)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.015
3012098,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(C2)C(C)(C)c3ncc(-c(cc4)ccc4Cl)[o]3)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.015
3012099,CC(C)(c1ncc(-c(cc2)ccc2Cl)[o]1)N1C[C@@H](C(NCC(F)(F)F)=O)N(C[C@H](C[C@@H](Cc2nnc(-c3ccccc3)[o]2)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)O)CC1,0.015
3012094,CCCc1nnc(C[C@H](C[C@@H](CN(CCN(C2)C(C)(C)c3ncc(-c(cc4)ccc4F)[o]3)[C@@H]2C(NCC(F)(F)F)=O)O)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)[o]1,0.016
3012100,O[C@@H](C[C@@H](Cc1nnc[o]1)C(N[C@H]1c(cccc2)c2OC[C@H]1O)=O)CN(CCN(Cc1ccc(-c(cc2)ccc2Cl)[o]1)C1)[C@@H]1C(NCC(F)(F)F)=O,0.015
3012100,O[C@@H](C[C@@H](Cc1nnc[o]1)C(N[C@H]1c(cccc2)c2OC[C@H]1O)=O)CN(CCN(Cc1ccc(-c(cc2)ccc2Cl)[o]1)C1)[C@@H]1C(NCC(F)(F)F)=O,0.015
3012097,CC(C)(c1ncc(-c(cc2)ccc2Cl)[o]1)N1C[C@@H](C(NCC(F)(F)F)=O)N(C[C@H](C[C@@H](Cc2nnc(C)[o]2)C(N[C@H]2c(cccc3)c3OC[C@H]2O)=O)O)CC1,>0.016
